"","img","bath","sensor","range","time","date","r","g","b","h","s","v","date.time","gray"
"56",56,23.9,25.9,"2045","11:44:14","03/02/2020",0.41971406,0.06006379,0.58252638,0.7813959,0.8968909,0.5825264,2020-02-03 11:44:14,0.241667452537585
"57",57,24.4,26.3,"1535","11:48:23","03/02/2020",0.8338715,0.2936694,0.1341903,0.0379885,0.8390755,0.8338715,2020-02-03 11:48:23,0.449720847878671
"58",58,24.5,26.1,"1545","11:48:54","03/02/2020",0.67008035,0.06252793,0.55720927,0.8642967,0.9066859,0.6700803,2020-02-03 11:48:54,0.33162146783579
"59",59,24.5,26.1,"2045","11:49:22","03/02/2020",0.48770957,0.05940821,0.58259358,0.8031069,0.898028,0.5825936,2020-02-03 11:49:22,0.25748961530226
"60",60,24.8,26.1,"1535","11:55:15","03/02/2020",0.8327961,0.2911933,0.1362298,0.03707794,0.83641875,0.83279609,2020-02-03 11:55:15,0.437658566282625
"61",61,24.8,26.1,"1545","11:55:30","03/02/2020",0.66411748,0.06078816,0.55933062,0.8622802,0.9084678,0.6641175,2020-02-03 11:55:30,0.338078154844484
"62",62,24.8,26.1,"2045","11:55:44","03/02/2020",0.47222671,0.05951293,0.58249256,0.7981931,0.8978306,0.5824926,2020-02-03 11:55:44,0.254298712889474
"63",63,25.1,26.8,"1535","12:00:18","03/02/2020",0.86259643,0.3771825,0.05996174,0.06587072,0.93048691,0.86259643,2020-02-03 12:00:18,0.490146306845051
"64",64,25.1,26.7,"1545","12:00:30","03/02/2020",0.7181281,0.09104659,0.5286952,0.8836811,0.8732168,0.7181281,2020-02-03 12:00:30,0.368667833188984
"65",65,25.1,26.8,"2045","12:00:47","03/02/2020",0.58298201,0.05884102,0.58119736,0.8339008,0.8990689,0.582982,2020-02-03 12:00:47,0.321106238972774
"66",66,25.1,27,"2545","12:01:10","03/02/2020",0.16795904,0.06190421,0.50155517,0.7068708,0.8765755,0.5015552,2020-02-03 12:01:10,0.150403556139513
"67",67,25.5,26.7,"1535","12:08:00","03/02/2020",0.8553755,0.35589044,0.07010223,0.06065579,0.91804508,0.8553755,2020-02-03 12:08:00,0.492966719699512
"68",68,25.5,26.7,"1545","12:08:20","03/02/2020",0.70853566,0.08397015,0.53567465,0.8794617,0.8814878,0.7085357,2020-02-03 12:08:20,0.358707413281655
"69",69,25.5,26.8,"2045","12:08:30","03/02/2020",0.57258902,0.05889918,0.58135602,0.8305366,0.8986866,0.581356,2020-02-03 12:08:30,0.294718666181005
"70",70,25.5,26.8,"2545","12:08:45","03/02/2020",0.13822897,0.06218766,0.47897655,0.6970743,0.8701656,0.4789766,2020-02-03 12:08:45,0.135603034846625
"71",71,25.9,27.8,"1535","12:13:10","03/02/2020",0.88013375,0.46144448,0.05229845,0.08237267,0.94057898,0.88013375,2020-02-03 12:13:10,0.537572828923396
"72",72,25.9,27.7,"1545","12:13:28","03/02/2020",0.7552633,0.1354425,0.4640192,0.9116474,0.8206686,0.7552633,2020-02-03 12:13:28,0.376230623648347
"73",73,25.9,27.8,"2045","12:13:45","03/02/2020",0.66177805,0.06287928,0.56081751,0.8614295,0.9049843,0.6617781,2020-02-03 12:13:45,0.329724335249058
"74",74,25.9,27.9,"2545","12:14:05","03/02/2020",0.3300021,0.0607143,0.5676007,0.7552098,0.8930334,0.5676007,2020-02-03 12:14:05,0.184046094890651
"75",75,26.2,27.6,"1535","12:18:30","03/02/2020",0.8770219,0.44476933,0.05278402,0.07926217,0.93981448,0.8770219,2020-02-03 12:18:30,0.51606164965324
"76",76,26.2,27.5,"1545","12:18:45","03/02/2020",0.7490739,0.1264961,0.478417,0.9057893,0.83113,0.7490739,2020-02-03 12:18:45,0.378334253133816
"77",77,26.2,27.5,"2045","12:18:50","03/02/2020",0.64722861,0.05957312,0.56499428,0.856656,0.9079566,0.6472286,2020-02-03 12:18:50,0.325268935010413
"78",78,26.2,27.5,"2545","12:18:55","03/02/2020",0.29428533,0.06094284,0.55734702,0.7450109,0.8906555,0.557347,2020-02-03 12:18:55,0.180022027091561
"79",79,26.4,27.8,"1535","12:22:30","03/02/2020",0.8772458,0.4487439,0.0530307,0.08001818,0.93954864,0.87724582,2020-02-03 12:22:30,0.502219909006846
"80",80,26.4,27.6,"1545","12:22:50","03/02/2020",0.7494471,0.1279053,0.4760094,0.9066558,0.8293338,0.7494471,2020-02-03 12:22:50,0.376744137145485
"81",81,26.4,27.5,"2045","12:23:05","03/02/2020",0.64705103,0.06054878,0.56528634,0.8565685,0.9064235,0.647051,2020-02-03 12:23:05,0.336070301550928
"82",82,26.4,27.6,"2545","12:23:15","03/02/2020",0.2926903,0.06093305,0.55757365,0.7444416,0.8907175,0.5575737,2020-02-03 12:23:15,0.19290758505868
"83",83,27,28.3,"1535","12:30:25","03/02/2020",0.88677718,0.48543984,0.05183617,0.08655375,0.94154544,0.88677718,2020-02-03 12:30:25,0.548064112596868
"84",84,27,28.3,"1545","12:30:45","03/02/2020",0.7771159,0.1734258,0.3966078,0.9383839,0.7768341,0.7771159,2020-02-03 12:30:45,0.393179890539121
"85",85,27,28.4,"2045","12:31:05","03/02/2020",0.69696652,0.07770846,0.54168192,0.8751265,0.8885047,0.6969665,2020-02-03 12:31:05,0.348590015436137
"86",86,27,28.3,"2545","12:31:30","03/02/2020",0.39144154,0.06019681,0.57673494,0.7735464,0.8956248,0.5767349,2020-02-03 12:31:30,0.232396311711873
"87",87,27.4,28.6,"1535","12:34:10","03/02/2020",0.88652447,0.4844228,0.05202286,0.08635892,0.94131819,0.88652447,2020-02-03 12:34:10,0.535422740446122
"88",88,27.4,28.7,"1545","12:34:40","03/02/2020",0.7748532,0.1697559,0.4018003,0.9360862,0.7809186,0.7748532,2020-02-03 12:34:40,0.395340269679752
"89",89,27.4,28.6,"2045","12:35:05","03/02/2020",0.68930282,0.07375718,0.54746918,0.8717366,0.8929974,0.6893028,2020-02-03 12:35:05,0.3546639412493
"90",90,27.4,28.3,"2545","12:35:35","03/02/2020",0.38359225,0.06027352,0.57534692,0.7712856,0.8952397,0.5753469,2020-02-03 12:35:35,0.216756851022103
"91",91,28,29.1,"1535","12:39:00","03/02/2020",0.89922864,0.56918447,0.04994846,0.1018973,0.9444541,0.8992286,2020-02-03 12:39:00,0.596111806723577
"92",92,28,29.1,"1545","12:39:45","03/02/2020",0.8502389,0.3953058,0.168988,0.05536819,0.80124646,0.85023891,2020-02-03 12:39:45,0.400798348992668
"93",93,28,29,"2045","12:40:10","03/02/2020",0.7374098,0.1155696,0.4939051,0.8985979,0.8432762,0.7374098,2020-02-03 12:40:10,0.367636693238325
"94",94,28,29,"2545","12:40:45","03/02/2020",0.49959422,0.05944224,0.58117293,0.807273,0.8977202,0.5811729,2020-02-03 12:40:45,0.266781908042609
"95",95,28.2,29.3,"1535","12:43:28","03/02/2020",0.90031416,0.57197926,0.04958601,0.1023424,0.9449237,0.9003142,2020-02-03 12:43:28,0.642415556751755
"96",96,28.2,29.3,"1545","12:44:00","03/02/2020",0.805644,0.2292391,0.2683392,0.9886943,0.7154585,0.805644,2020-02-03 12:44:00,0.417135974284013
"97",97,28.2,29.2,"2045","12:44:25","03/02/2020",0.7362554,0.114258,0.4956066,0.8978161,0.844812,0.7362554,2020-02-03 12:44:25,0.377619544983167
"98",98,28.2,29.1,"2545","12:44:55","03/02/2020",0.5161358,0.05929995,0.58083596,0.8126572,0.8979059,0.580836,2020-02-03 12:44:55,0.264430711645167
"99",99,28.6,29.5,"1535","12:47:10","03/02/2020",0.90061866,0.58037173,0.04964652,0.1039449,0.9448751,0.9006187,2020-02-03 12:47:10,0.632932522433938
"100",100,28.6,29.2,"1545","12:47:30","03/02/2020",0.8077065,0.2352409,0.2538182,0.9945914,0.7087545,0.8077065,2020-02-03 12:47:30,0.414554902161904
"101",101,28.6,29.3,"2045","12:48:00","03/02/2020",0.747404,0.1293531,0.4730507,0.9073168,0.8269302,0.747404,2020-02-03 12:48:00,0.379340730193083
"102",102,28.6,29.2,"2545","12:48:15","03/02/2020",0.6513834,0.0950549,0.5254565,0.8710589,0.8540723,0.6513834,2020-02-03 12:48:15,0.285534498887479
"103",103,29.5,30.3,"1535","12:52:50","03/02/2020",0.9017082,0.6461172,0.0483802,0.1167463,0.9463461,0.9017082,2020-02-03 12:52:50,0.645353615436347
"104",104,29.6,30.5,"1545","12:53:15","03/02/2020",0.8305772,0.2857162,0.1447403,0.03425887,0.82573534,0.83057719,2020-02-03 12:53:15,0.429077018516991
"105",105,29.5,30,"2045","12:53:50","03/02/2020",0.7779905,0.1777761,0.3862924,0.9420995,0.7714933,0.7779905,2020-02-03 12:53:50,0.393761377971792
"106",106,29.5,29.9,"2545","12:54:15","03/02/2020",0.64463111,0.06197311,0.56467051,0.8562057,0.9038627,0.6446311,2020-02-03 12:54:15,0.323014609484414
